Id,SalePrice
1461,129760
1462,144333
1463,183866
1464,186369
1465,203324
1466,186848
1467,177910
1468,176629
1469,176333
1470,134290
1471,208133
1472,108535
1473,113169
1474,158596
1475,127101
1476,374760
1477,270769
1478,313627
1479,304199
1480,433623
1481,303539
1482,212136
1483,187734
1484,184029
1485,188701
1486,199508
1487,301531
1488,254534
1489,208763
1490,221983
1491,196985
1492,110977
1493,189525
1494,291822
1495,273644
1496,233182
1497,188044
1498,169847
1499,170021
1500,170969
1501,170281
1502,171310
1503,283757
1504,225372
1505,220234
1506,177341
1507,218933
1508,181873
1509,157763
1510,148215
1511,146761
1512,172676
1513,151323
1514,168212
1515,192565
1516,164167
1517,151669
1518,145138
1519,220390
1520,137096
1521,137567
1522,165698
1523,121060
1524,120342
1525,129464
1526,128271
1527,118540
1528,124607
1529,139966
1530,165158
1531,143988
1532,111034
1533,138083
1534,118420
1535,148579
1536,123523
1537,119918
1538,158542
1539,192406
1540,130687
1541,142536
1542,140283
1543,179207
1544,98730
1545,113234
1546,132951
1547,137864
1548,128355
1549,122755
1550,146494
1551,125067
1552,155773
1553,140814
1554,116204
1555,170479
1556,110047
1557,127707
1558,105743
1559,126592
1560,153134
1561,166729
1562,124530
1563,123582
1564,163174
1565,156665
1566,211206
1567,101369
1568,205686
1569,162055
1570,142309
1571,138483
1572,140474
1573,233213
1574,139811
1575,214393
1576,252224
1577,195263
1578,146891
1579,145595
1580,193138
1581,137056
1582,128063
1583,319728
1584,233433
1585,150764
1586,94020
1587,115969
1588,137054
1589,115306
1590,134026
1591,108813
1592,141760
1593,130714
1594,131031
1595,133426
1596,211426
1597,165260
1598,190696
1599,189566
1600,195215
1601,96534
1602,119832
1603,113326
1604,276659
1605,245410
1606,165411
1607,169175
1608,222996
1609,195002
1610,173079
1611,153087
1612,181648
1613,177419
1614,131098
1615,103257
1616,98323
1617,107693
1618,121766
1619,137547
1620,172435
1621,142118
1622,146492
1623,260100
1624,216093
1625,131184
1626,173630
1627,186408
1628,266740
1629,187594
1630,319680
1631,198636
1632,231292
1633,184355
1634,188926
1635,184164
1636,170240
1637,177601
1638,195838
1639,183809
1640,221373
1641,176950
1642,220930
1643,222621
1644,219494
1645,186255
1646,163839
1647,167857
1648,141327
1649,133432
1650,123633
1651,126419
1652,108970
1653,108181
1654,161623
1655,162344
1656,161290
1657,158886
1658,169430
1659,129568
1660,153853
1661,442034
1662,341115
1663,366606
1664,415998
1665,319712
1666,312553
1667,329790
1668,331699
1669,306688
1670,329814
1671,263422
1672,403535
1673,327627
1674,259459
1675,198476
1676,195929
1677,207290
1678,407137
1679,365673
1680,316640
1681,270432
1682,301552
1683,198393
1684,190073
1685,187281
1686,192456
1687,186600
1688,198450
1689,197936
1690,196385
1691,189117
1692,264342
1693,182350
1694,180922
1695,179682
1696,264509
1697,179143
1698,327004
1699,326831
1700,238450
1701,251792
1702,264744
1703,268427
1704,283118
1705,226904
1706,414642
1707,205960
1708,199414
1709,271704
1710,234223
1711,269979
1712,255039
1713,267048
1714,210678
1715,200577
1716,176232
1717,167333
1718,133204
1719,206914
1720,260136
1721,166871
1722,129485
1723,159250
1724,227718
1725,221549
1726,192999
1727,183248
1728,192540
1729,171890
1730,158426
1731,126474
1732,131580
1733,129577
1734,135664
1735,137334
1736,126282
1737,315808
1738,210075
1739,285286
1740,229342
1741,192637
1742,169821
1743,176512
1744,270713
1745,213751
1746,223569
1747,201885
1748,200116
1749,163800
1750,137526
1751,208746
1752,129169
1753,156970
1754,192211
1755,169671
1756,126272
1757,122098
1758,153803
1759,162369
1760,165474
1761,151213
1762,180647
1763,164625
1764,125976
1765,180312
1766,183176
1767,198115
1768,140060
1769,168624
1770,147628
1771,136422
1772,133655
1773,140786
1774,145314
1775,130620
1776,129006
1777,117510
1778,134079
1779,131149
1780,173474
1781,133718
1782,112923
1783,138888
1784,114476
1785,117339
1786,159693
1787,162214
1788,81287
1789,109539
1790,107992
1791,177997
1792,142540
1793,152608
1794,134093
1795,132241
1796,141895
1797,125652
1798,127066
1799,112420
1800,134569
1801,133314
1802,140624
1803,152157
1804,138654
1805,137894
1806,121812
1807,139197
1808,132979
1809,130302
1810,147301
1811,124614
1812,111732
1813,120669
1814,114739
1815,85890
1816,112237
1817,144755
1818,143290
1819,134877
1820,99203
1821,128275
1822,144318
1823,83710
1824,145686
1825,142659
1826,121162
1827,116446
1828,140785
1829,125641
1830,141876
1831,147229
1832,126674
1833,146137
1834,131488
1835,146628
1836,127345
1837,106967
1838,127829
1839,104585
1840,150216
1841,140690
1842,110308
1843,143717
1844,148701
1845,151581
1846,154947
1847,184019
1848,80164
1849,130610
1850,127546
1851,151904
1852,133093
1853,149335
1854,169671
1855,163686
1856,217951
1857,179788
1858,132491
1859,131526
1860,145633
1861,131526
1862,294905
1863,289592
1864,289592
1865,326108
1866,323046
1867,242968
1868,275087
1869,200950
1870,241139
1871,261823
1872,186803
1873,217512
1874,143360
1875,199242
1876,192879
1877,210305
1878,218101
1879,131017
1880,137115
1881,242046
1882,248752
1883,198337
1884,207410
1885,246044
1886,277901
1887,210395
1888,275583
1889,186777
1890,135687
1891,147237
1892,116978
1893,134817
1894,138754
1895,152644
1896,125621
1897,128868
1898,124867
1899,146812
1900,136273
1901,151975
1902,139778
1903,200762
1904,139928
1905,187674
1906,152905
1907,197134
1908,126309
1909,147296
1910,140785
1911,197057
1912,248904
1913,151225
1914,88440
1915,294499
1916,99555
1917,261025
1918,134323
1919,160017
1920,168099
1921,376952
1922,335550
1923,188124
1924,225970
1925,214231
1926,369781
1927,134123
1928,167272
1929,121143
1930,146284
1931,144390
1932,140526
1933,183563
1934,184154
1935,178435
1936,185422
1937,182804
1938,181751
1939,251067
1940,204077
1941,183977
1942,186983
1943,206767
1944,314811
1945,346287
1946,166236
1947,289907
1948,185003
1949,242503
1950,172037
1951,231321
1952,215361
1953,171991
1954,189216
1955,133046
1956,264329
1957,169472
1958,281341
1959,146202
1960,123398
1961,126646
1962,109272
1963,109626
1964,119101
1965,153000
1966,150142
1967,290345
1968,406713
1969,380441
1970,406558
1971,376547
1972,333100
1973,266698
1974,314837
1975,403213
1976,274564
1977,332490
1978,331081
1979,333013
1980,202955
1981,333943
1982,220419
1983,219990
1984,182643
1985,220235
1986,226381
1987,191187
1988,189350
1989,199180
1990,221792
1991,203244
1992,209712
1993,188453
1994,225915
1995,188801
1996,252606
1997,318551
1998,341123
1999,247328
2000,286356
2001,288019
2002,249149
2003,270731
2004,266059
2005,220550
2006,213871
2007,265631
2008,199964
2009,198490
2010,197635
2011,138748
2012,192398
2013,191807
2014,192507
2015,196915
2016,195487
2017,201675
2018,134072
2019,132546
2020,120746
2021,121361
2022,178246
2023,151859
2024,233172
2025,305751
2026,188199
2027,167631
2028,165293
2029,166280
2030,264440
2031,230054
2032,238639
2033,257186
2034,169730
2035,207470
2036,183249
2037,187358
2038,273886
2039,208289
2040,279959
2041,252851
2042,203705
2043,159614
2044,174755
2045,199099
2046,141722
2047,146202
2048,133728
2049,142256
2050,167613
2051,122867
2052,139201
2053,143844
2054,106027
2055,169842
2056,145775
2057,130818
2058,213385
2059,140583
2060,160768
2061,172463
2062,135235
2063,119017
2064,136037
2065,121867
2066,180436
2067,150353
2068,144220
2069,99109
2070,115288
2071,108652
2072,144192
2073,147154
2074,176041
2075,138007
2076,127194
2077,141545
2078,130703
2079,138102
2080,117222
2081,127047
2082,135252
2083,137507
2084,119320
2085,131880
2086,134431
2087,124093
2088,118255
2089,102669
2090,134552
2091,129204
2092,137756
2093,148301
2094,124377
2095,150233
2096,103199
2097,106760
2098,147018
2099,90293
2100,134113
2101,139061
2102,131456
2103,114325
2104,140962
2105,128976
2106,112748
2107,195839
2108,121091
2109,118811
2110,139446
2111,144562
2112,146675
2113,117789
2114,115871
2115,145721
2116,123821
2117,146436
2118,131841
2119,113617
2120,132207
2121,114557
2122,111764
2123,111542
2124,169892
2125,140150
2126,151908
2127,143024
2128,138135
2129,117534
2130,138653
2131,160345
2132,128141
2133,122491
2134,135544
2135,114509
2136,107908
2137,122157
2138,134508
2139,153232
2140,136087
2141,149734
2142,132259
2143,142347
2144,132703
2145,135180
2146,154447
2147,172044
2148,139152
2149,147081
2150,202169
2151,132168
2152,168435
2153,164814
2154,111796
2155,133342
2156,245778
2157,237902
2158,227547
2159,215257
2160,188562
2161,253001
2162,367267
2163,326661
2164,267163
2165,174528
2166,141634
2167,206563
2168,199062
2169,197779
2170,211336
2171,146743
2172,139850
2173,161723
2174,226946
2175,274090
2176,308880
2177,234517
2178,221849
2179,153572
2180,220062
2181,196785
2182,232237
2183,197451
2184,135337
2185,138803
2186,148115
2187,152342
2188,156212
2189,210406
2190,101864
2191,105725
2192,100062
2193,106143
2194,110728
2195,124899
2196,128848
2197,123915
2198,154593
2199,169545
2200,131855
2201,126814
2202,180534
2203,158813
2204,164763
2205,118016
2206,138191
2207,193173
2208,215258
2209,201579
2210,131155
2211,115722
2212,116276
2213,109423
2214,155313
2215,117330
2216,148477
2217,106969
2218,104719
2219,99525
2220,103013
2221,295539
2222,257433
2223,289695
2224,220486
2225,138059
2226,203700
2227,206498
2228,280392
2229,234889
2230,172352
2231,221142
2232,186606
2233,190287
2234,242288
2235,222748
2236,263373
2237,341210
2238,196584
2239,122252
2240,167825
2241,148722
2242,136342
2243,139074
2244,113460
2245,123893
2246,141200
2247,119003
2248,123846
2249,127618
2250,137718
2251,144836
2252,177617
2253,171379
2254,185630
2255,189275
2256,193300
2257,194877
2258,183768
2259,181936
2260,156615
2261,193815
2262,214529
2263,340271
2264,388165
2265,159193
2266,261863
2267,354045
2268,351227
2269,159609
2270,190607
2271,210734
2272,198127
2273,166141
2274,176530
2275,173616
2276,177614
2277,179714
2278,144665
2279,130709
2280,124151
2281,191755
2282,197978
2283,110943
2284,113093
2285,141686
2286,126380
2287,336888
2288,276214
2289,346402
2290,386288
2291,318357
2292,388593
2293,423948
2294,358717
2295,410640
2296,251348
2297,312484
2298,329210
2299,357952
2300,303628
2301,296190
2302,243310
2303,240403
2304,248146
2305,187315
2306,188792
2307,195612
2308,233515
2309,278176
2310,218154
2311,210824
2312,179925
2313,188085
2314,186438
2315,188921
2316,208246
2317,182859
2318,188625
2319,188191
2320,192193
2321,238876
2322,193932
2323,182992
2324,189603
2325,214403
2326,187669
2327,209131
2328,215944
2329,183261
2330,181086
2331,327379
2332,326889
2333,283544
2334,261016
2335,259646
2336,298826
2337,191390
2338,262845
2339,234422
2340,378853
2341,214228
2342,227900
2343,222940
2344,234829
2345,247429
2346,212407
2347,197604
2348,219642
2349,176272
2350,292032
2351,263220
2352,260742
2353,265213
2354,131584
2355,147642
2356,149188
2357,207674
2358,200843
2359,130107
2360,121777
2361,140654
2362,241910
2363,140781
2364,150811
2365,216374
2366,195488
2367,220519
2368,207046
2369,222770
2370,171154
2371,169246
2372,183093
